ZS|-99.0|-99.0|0,55|-99.0|-99.0|S*A|-99.0|0,0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|C|-99.0|Y|-99.0|Y|-99.0|-99.0|SHEET*COIL|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|3|663|608|557|0.8401207|0.91611844|
ZS|-99.0|-99.0|-99.0|0,60|-99.0|-99.0|-99.0|-99.0|N|P|-99.0|-99.0|-99.0|-99.0|Y|B|Y|-99.0|P|Y|-99.0|Y|-99.0|Y|SHEET*COIL|-99.0|-99.0|0.0,4880.0|-99.0|-99.0|3|3|649|608|551|0.8489985|0.90625|
ZS|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|Y|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|3|738|608|608|0.82384825|1.0|
-99.0|-99.0|-99.0|-99.0|85,85|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|Y|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|-99.0|U|30|34|30|1.0|0.88235295|
ZS|-99.0|A*S|0,3|0,0|T|S|2|0,400|N|P|D|1|-99.0|Y|-99.0|M|Y|C|-99.0|-99.0|-99.0|Y|-99.0|Y|-99.0|0.5,1.0|75.0,610.0|0.0,4880.0|Y|0000|-99.0|1|5|8|5|1.0|0.625|
TN|C|A|0,0|0,0|T|A|3*1|0,0|N|P|F|2|Y|Y|Y|-99.0|Y|C|-99.0|Y|-99.0|Y|-99.0|-99.0|-99.0|0.7,1.6|-99.0|-99.0|Y|0000|-99.0|5|30|60|30|1.0|0.5|
TN|C|A|-99.0|0,0|-99.0|A|3*1|-99.0|-99.0|-99.0|D|2|Y|-99.0|-99.0|-99.0|Y|-99.0|-99.0|-99.0|Y|-99.0|-99.0|Y|SHEET*COIL|0.5,1.6|-99.0|-99.0|-99.0|-99.0|3|5|61|60|58|0.9508197|0.96666664|
-99.0|C|A|0,0|0,0|T|S*A|-99.0|-99.0|-99.0|-99.0|D|1|-99.0|-99.0|-99.0|-99.0|Y|C|-99.0|-99.0|-99.0|Y|-99.0|Y|SHEET*COIL|-99.0|-99.0|0.0,4880.0|N|0000*0500|-99.0|5|69|60|60|0.8695652|1.0|
-99.0|C|A|0,0|0,0|T|S*A|-99.0|-99.0|-99.0|-99.0|D|2|-99.0|-99.0|-99.0|-99.0|Y|C|-99.0|-99.0|-99.0|Y|-99.0|Y|SHEET*COIL|-99.0|-99.0|0.0,4880.0|Y*N|0000*0600|-99.0|5|69|60|60|0.8695652|1.0|
-99.0|C|A|0,0|0,0|T|S*A|-99.0|-99.0|-99.0|-99.0|D|2*1|-99.0|-99.0|-99.0|-99.0|Y|C|-99.0|-99.0|-99.0|Y|-99.0|Y|SHEET*COIL|-99.0|-99.0|0.0,4880.0|Y|0000|-99.0|5|69|60|60|0.8695652|1.0|
-99.0|C|A|0,0|0,0|T|S*A|-99.0|-99.0|-99.0|-99.0|D|2|-99.0|-99.0|-99.0|-99.0|Y|C|-99.0|-99.0|-99.0|Y|-99.0|Y|SHEET*COIL|-99.0|-99.0|0.0,4880.0|Y*N|0000|-99.0|5|69|60|60|0.8695652|1.0|
-99.0|C|A|0,0|0,0|T|S*A|-99.0|-99.0|-99.0|-99.0|D|2|-99.0|-99.0|-99.0|-99.0|Y|C|-99.0|-99.0|-99.0|Y|-99.0|Y|SHEET*COIL|-99.0|-99.0|0.0,4880.0|Y|0000*0600|-99.0|5|69|60|60|0.8695652|1.0|
-99.0|C|A|0,0|0,0|T|S*A|-99.0|-99.0|-99.0|-99.0|D|2|-99.0|-99.0|-99.0|-99.0|Y|C|-99.0|-99.0|-99.0|Y|-99.0|Y|SHEET*COIL|-99.0|-99.0|0.0,4880.0|N|0000|-99.0|5|69|60|60|0.8695652|1.0|
-99.0|C|A|0,0|0,0|T|S*A|-99.0|-99.0|-99.0|-99.0|D|2*1|-99.0|-99.0|-99.0|-99.0|Y|C|-99.0|-99.0|-99.0|Y|-99.0|Y|SHEET*COIL|-99.0|-99.0|0.0,4880.0|N|0000*0500|-99.0|5|69|60|60|0.8695652|1.0|
-99.0|C|A|0,0|0,0|T|S*A|-99.0|-99.0|-99.0|-99.0|D|2|-99.0|-99.0|-99.0|-99.0|Y|C|-99.0|-99.0|-99.0|Y|-99.0|Y|SHEET*COIL|-99.0|-99.0|0.0,4880.0|N|0000*0500|-99.0|5|69|60|60|0.8695652|1.0|
-99.0|C|A|0,0|0,0|T|S*A|-99.0|-99.0|-99.0|-99.0|D|1|-99.0|-99.0|-99.0|-99.0|Y|C|-99.0|-99.0|-99.0|Y|-99.0|Y|SHEET*COIL|-99.0|-99.0|0.0,4880.0|N|0000|-99.0|5|69|60|60|0.8695652|1.0|
-99.0|C|A|0,0|0,0|T|S*A|-99.0|-99.0|-99.0|-99.0|D|2|-99.0|-99.0|-99.0|-99.0|Y|C|-99.0|-99.0|-99.0|Y|-99.0|Y|SHEET*COIL|-99.0|-99.0|0.0,4880.0|Y*N|0000*0500|-99.0|5|69|60|60|0.8695652|1.0|
-99.0|C|A|0,0|0,0|T|S*A|-99.0|-99.0|-99.0|-99.0|D|1|-99.0|-99.0|-99.0|-99.0|Y|C|-99.0|-99.0|-99.0|Y|-99.0|Y|SHEET*COIL|-99.0|-99.0|0.0,4880.0|Y*N|0000*0500|-99.0|5|69|60|60|0.8695652|1.0|
-99.0|C|A|0,0|0,0|T|S*A|-99.0|-99.0|-99.0|-99.0|D|1|-99.0|-99.0|-99.0|-99.0|Y|C|-99.0|-99.0|-99.0|Y|-99.0|Y|SHEET*COIL|-99.0|-99.0|0.0,4880.0|N|0000*0600|-99.0|5|69|60|60|0.8695652|1.0|
-99.0|C|A|0,0|0,0|T|S*A|-99.0|-99.0|-99.0|-99.0|D|2*1|-99.0|-99.0|-99.0|-99.0|Y|C|-99.0|-99.0|-99.0|Y|-99.0|Y|SHEET*COIL|-99.0|-99.0|0.0,4880.0|Y*N|0000|-99.0|5|69|60|60|0.8695652|1.0|
-99.0|C|A|0,0|0,0|T|S*A|-99.0|-99.0|-99.0|-99.0|D|1|-99.0|-99.0|-99.0|-99.0|Y|C|-99.0|-99.0|-99.0|Y|-99.0|Y|SHEET*COIL|-99.0|-99.0|0.0,4880.0|Y|0000*0500*0600|-99.0|5|69|60|60|0.8695652|1.0|
-99.0|C|A|0,0|0,0|T|S*A|-99.0|-99.0|-99.0|-99.0|D|1|-99.0|-99.0|-99.0|-99.0|Y|C|-99.0|-99.0|-99.0|Y|-99.0|Y|SHEET*COIL|-99.0|-99.0|0.0,4880.0|N|0000*0500*0600|-99.0|5|69|60|60|0.8695652|1.0|
-99.0|C|A|0,0|0,0|T|S*A|-99.0|-99.0|-99.0|-99.0|D|2*1|-99.0|-99.0|-99.0|-99.0|Y|C|-99.0|-99.0|-99.0|Y|-99.0|Y|SHEET*COIL|-99.0|-99.0|0.0,4880.0|Y|0000*0500|-99.0|5|69|60|60|0.8695652|1.0|
